head_lemma,relation,dependent_lemma,low_count,high_count,difference,low_count_per_1k_words,high_count_per_1k_words,difference_per_1k_words,log_likelihood,significance,low_count_per_1k_dependencies,high_count_per_1k_dependencies,difference_per_1k_dependencies
water,amod,fresh,623,1456,833,11.217746727406954,18.209332282794932,6.991585555387978,108.38,p<0.001,11.217746727406954,18.209332282794932,6.991585555387978
do,nsubj,we,162,241,79,2.9169742694059817,3.014044697907678,0.09707042850169634,0.1,n.s.,2.9169742694059817,3.014044697907678,0.09707042850169634
use,nsubj,we,56,131,75,1.0083367844860183,1.6383396490701485,0.6300028645841302,9.78,p<0.01,1.0083367844860183,1.6383396490701485,0.6300028645841302
think,nsubj,person,62,126,64,1.1163728685380918,1.5758076013957154,0.4594347328576236,5.11,p<0.05,1.1163728685380918,1.5758076013957154,0.4594347328576236
get,nsubj,we,92,152,60,1.6565532887984586,1.9009742493027677,0.24442096050430906,1.1,n.s.,1.6565532887984586,1.9009742493027677,0.24442096050430906
shortage,amod,global,30,88,58,0.5401804202603671,1.1005640390700233,0.5603836188096563,12.54,p<0.001,0.5401804202603671,1.1005640390700233,0.5603836188096563
person,amod,many,35,87,52,0.6302104903037614,1.0880576295351367,0.4578471392313753,7.97,p<0.01,0.6302104903037614,1.0880576295351367,0.4578471392313753
water,amod,more,61,112,51,1.098366854529413,1.4007178679073025,0.3023510133778895,2.39,n.s.,1.098366854529413,1.4007178679073025,0.3023510133778895
make,nsubj,we,49,90,41,0.8822946864252661,1.1255768581397967,0.2432821717145306,1.92,n.s.,0.8822946864252661,1.1255768581397967,0.2432821717145306
take,nsubj,we,29,68,39,0.522174406251688,0.8504358483722908,0.3282614421206028,5.12,p<0.05,0.522174406251688,0.8504358483722908,0.3282614421206028
think,nsubj,i,79,116,37,1.4224751066856332,1.450743506046849,0.028268399361215835,0.02,n.s.,1.4224751066856332,1.450743506046849,0.028268399361215835
water,amod,much,19,56,37,0.34211426616489904,0.7003589339536512,0.3582446677887522,8.07,p<0.01,0.34211426616489904,0.7003589339536512,0.3582446677887522
be,nsubj,water,23,55,32,0.41413832219961466,0.6878525244187645,0.2737142022191499,4.44,p<0.05,0.41413832219961466,0.6878525244187645,0.2737142022191499
hand,amod,other,34,66,32,0.6122044762950826,0.8254230293025175,0.21321855300743497,2.06,n.s.,0.6122044762950826,0.8254230293025175,0.21321855300743497
have,nsubj,we,58,90,32,1.044348812503376,1.1255768581397967,0.08122804563642072,0.2,n.s.,1.044348812503376,1.1255768581397967,0.08122804563642072
increase,nsubj,population,23,54,31,0.41413832219961466,0.675346114883878,0.2612077926842633,4.09,p<0.05,0.41413832219961466,0.675346114883878,0.2612077926842633
take,nsubj,person,12,43,31,0.21607216810414678,0.5377756100001251,0.3217034418959783,9.06,p<0.01,0.21607216810414678,0.5377756100001251,0.3217034418959783
be,nsubj,way,29,55,26,0.522174406251688,0.6878525244187645,0.16567811816707656,1.48,n.s.,0.522174406251688,0.6878525244187645,0.16567811816707656
find,nsubj,we,29,55,26,0.522174406251688,0.6878525244187645,0.16567811816707656,1.48,n.s.,0.522174406251688,0.6878525244187645,0.16567811816707656
know,nsubj,student,13,39,26,0.2340781821128257,0.48774997186057856,0.25367178974775284,5.85,p<0.05,0.2340781821128257,0.48774997186057856,0.25367178974775284
shortage,nsubj,water,30,56,26,0.5401804202603671,0.7003589339536512,0.16017851369328417,1.35,n.s.,0.5401804202603671,0.7003589339536512,0.16017851369328417
become,nsubj,water,6,31,25,0.10803608405207339,0.3876986955814855,0.27966261152941213,10.6,p<0.01,0.10803608405207339,0.3876986955814855,0.27966261152941213
read,nsubj,we,25,47,22,0.4501503502169725,0.5878012481396716,0.13765089792269913,1.19,n.s.,0.4501503502169725,0.5878012481396716,0.13765089792269913
save,nsubj,we,20,41,21,0.360120280173578,0.5127627909303517,0.1526425107567737,1.74,n.s.,0.360120280173578,0.5127627909303517,0.1526425107567737
need,nsubj,person,4,24,20,0.0720240560347156,0.3001538288372791,0.2281297728025635,9.49,p<0.01,0.0720240560347156,0.3001538288372791,0.2281297728025635
problem,amod,serious,5,25,20,0.0900300700433945,0.3126602383721657,0.22263016832877122,8.26,p<0.01,0.0900300700433945,0.3126602383721657,0.22263016832877122
time,amod,same,12,32,20,0.21607216810414678,0.40020510511637214,0.18413293701222536,3.6,n.s.,0.21607216810414678,0.40020510511637214,0.18413293701222536
person,amod,more,19,38,19,0.34211426616489904,0.4752435623256919,0.1331292961607929,1.41,n.s.,0.34211426616489904,0.4752435623256919,0.1331292961607929
waste,nsubj,we,16,35,19,0.2880962241388624,0.43772433372103203,0.14962810958216965,2.01,n.s.,0.2880962241388624,0.43772433372103203,0.14962810958216965
water,amod,enough,9,26,17,0.1620541260781101,0.3251666479070524,0.16311252182894231,3.58,n.s.,0.1620541260781101,0.3251666479070524,0.16311252182894231
