head_lemma,relation,dependent_lemma,count,count_per_1k_words,count_per_1k_dependencies
water,amod,fresh,1456,18.209332282794932,18.209332282794932
do,nsubj,we,241,3.014044697907678,3.014044697907678
get,nsubj,we,152,1.9009742493027677,1.9009742493027677
know,nsubj,we,152,1.9009742493027677,1.9009742493027677
make,nsubj,practice,142,1.7759101539539015,1.7759101539539015
country,amod,develop,140,1.7508973348841281,1.7508973348841281
use,nsubj,we,131,1.6383396490701485,1.6383396490701485
think,nsubj,person,126,1.5758076013957154,1.5758076013957154
think,nsubj,i,116,1.450743506046849,1.450743506046849
water,amod,more,112,1.4007178679073025,1.4007178679073025
learn,nsubj,we,107,1.3381858202328691,1.3381858202328691
have,nsubj,we,90,1.1255768581397967,1.1255768581397967
make,nsubj,we,90,1.1255768581397967,1.1255768581397967
shortage,amod,global,88,1.1005640390700233,1.1005640390700233
person,amod,many,87,1.0880576295351367,1.0880576295351367
take,nsubj,we,68,0.8504358483722908,0.8504358483722908
hand,amod,other,66,0.8254230293025175,0.8254230293025175
way,amod,many,58,0.7253717530234245,0.7253717530234245
water,amod,much,56,0.7003589339536512,0.7003589339536512
shortage,nsubj,water,56,0.7003589339536512,0.7003589339536512
be,nsubj,way,55,0.6878525244187645,0.6878525244187645
find,nsubj,we,55,0.6878525244187645,0.6878525244187645
be,nsubj,water,55,0.6878525244187645,0.6878525244187645
increase,nsubj,population,54,0.675346114883878,0.675346114883878
do,nsubj,you,53,0.6628397053489914,0.6628397053489914
old,nsubj,expectancy,49,0.6128140672094449,0.6128140672094449
read,nsubj,we,47,0.5878012481396716,0.5878012481396716
take,nsubj,person,43,0.5377756100001251,0.5377756100001251
save,nsubj,we,41,0.5127627909303517,0.5127627909303517
know,nsubj,student,39,0.48774997186057856,0.48774997186057856
