head_lemma,relation,dependent_lemma,count,count_per_1k_words,count_per_1k_dependencies
water,amod,fresh,2079,15.31954402434621,15.31954402434621
do,nsubj,we,403,2.9695893419006847,2.9695893419006847
know,nsubj,we,289,2.129556624836967,2.129556624836967
make,nsubj,practice,284,2.0927130846148745,2.0927130846148745
country,amod,develop,277,2.0411321283039445,2.0411321283039445
get,nsubj,we,244,1.7979647628381317,1.7979647628381317
learn,nsubj,we,205,1.510585149105807,1.510585149105807
think,nsubj,i,195,1.4368980686616215,1.4368980686616215
think,nsubj,person,188,1.3853171123506915,1.3853171123506915
use,nsubj,we,187,1.377948404306273,1.377948404306273
water,amod,more,173,1.274786491684413,1.274786491684413
have,nsubj,we,148,1.0905687905739487,1.0905687905739487
make,nsubj,we,139,1.0242504181741814,1.0242504181741814
person,amod,many,122,0.8989823814190658,0.8989823814190658
shortage,amod,global,118,0.8695075492413915,0.8695075492413915
do,nsubj,you,109,0.8031891768416244,0.8031891768416244
old,nsubj,expectancy,107,0.7884517607527872,0.7884517607527872
hand,amod,other,100,0.7368708044418573,0.7368708044418573
way,amod,many,99,0.7295020963974387,0.7295020963974387
take,nsubj,we,97,0.7147646803086014,0.7147646803086014
shortage,nsubj,water,86,0.6337088918199971,0.6337088918199971
be,nsubj,way,84,0.6189714757311601,0.6189714757311601
find,nsubj,we,84,0.6189714757311601,0.6189714757311601
be,nsubj,water,78,0.5747592274646487,0.5747592274646487
increase,nsubj,population,77,0.56739051942023,0.56739051942023
water,amod,much,75,0.5526531033313928,0.5526531033313928
read,nsubj,we,72,0.5305469791981372,0.5305469791981372
see,nsubj,we,66,0.48633473093162577,0.48633473093162577
do,nsubj,i,64,0.4715973148427886,0.4715973148427886
go,nsubj,we,62,0.45685989875395144,0.45685989875395144
